id,authorId,text,createdAt
101,1,Just finished reading an amazing book about AI!,2021-03-15T10:30:00
102,1,Coffee and coding - perfect morning combination,2021-06-20T08:15:00
103,2,Excited about the new product launch tomorrow,2021-01-10T14:45:00
104,2,Thanks everyone for the birthday wishes!,2021-07-22T19:20:00
105,3,Writing my first blog post about web development,2021-02-05T11:00:00
106,3,Just deployed a new feature to production,2021-08-30T16:30:00
107,4,Great conference today on machine learning,2020-12-18T13:45:00
108,4,Looking for recommendations on Python libraries,2021-05-12T09:00:00
109,5,Happy to announce I'm starting a new job!,2021-04-01T10:00:00
110,5,Weekend hiking trip was absolutely beautiful,2021-09-15T17:45:00
111,6,Debugging this issue for hours...,2020-11-20T22:30:00
112,6,Finally solved it! The bug was in the config file,2020-11-21T01:15:00
113,7,Sharing my latest photography project,2021-02-14T12:00:00
114,7,Sunrise this morning was spectacular,2021-07-04T06:30:00
115,8,New tutorial series on JavaScript starting next week,2021-03-30T15:20:00
116,8,Thanks for 10k followers!,2021-10-15T20:00:00
117,9,First day at university!,2021-04-05T08:00:00
118,9,Exam week is tough but almost done,2021-06-15T23:30:00
119,10,Just launched my personal website,2021-01-20T14:00:00
120,10,Check out my portfolio of design work,2021-08-05T11:45:00
121,11,Cooking experiments in the kitchen today,2021-03-25T18:30:00
122,11,Recipe blog is finally live!,2021-09-10T13:15:00
123,12,Marathon training is paying off,2021-06-17T07:00:00
124,12,Race day tomorrow - feeling ready!,2021-10-01T19:30:00
125,13,Book recommendations for autumn reading,2021-10-08T10:15:00
126,13,Started a virtual book club - join us!,2021-11-20T16:00:00
127,14,Music festival lineup looks amazing this year,2020-05-29T12:30:00
128,14,Concert tickets acquired!,2021-01-15T21:45:00
129,15,Working on my thesis about climate change,2021-01-13T09:30:00
130,15,Research paper submitted!,2021-07-28T17:00:00
131,16,New podcast episode out now,2021-09-07T14:20:00
132,16,Thanks for all the positive feedback,2021-10-20T11:00:00
133,17,Travel planning for next summer,2021-11-21T15:45:00
134,17,Booking flights today,2021-12-05T10:30:00
135,18,Holiday season preparations,2020-12-30T13:00:00
136,18,Happy New Year everyone!,2021-01-01T00:05:00
137,19,Started learning guitar,2021-07-19T16:15:00
138,19,First performance at open mic night!,2021-11-30T22:00:00
139,20,Garden is blooming beautifully,2021-04-02T09:45:00
140,20,Harvested tomatoes and peppers today,2021-08-18T18:20:00
141,21,Volunteering at the animal shelter this weekend,2021-08-11T12:00:00
142,21,Fostering a puppy!,2021-10-25T15:30:00
143,22,Chess tournament victory!,2021-02-26T19:15:00
144,22,Streaming chess games tonight,2021-06-30T20:00:00
145,23,Art exhibition opening next Friday,2021-06-14T11:30:00
146,23,My painting sold at auction!,2021-09-22T16:45:00
147,24,Startup pitch competition today,2021-10-23T08:30:00
148,24,We won second place!,2021-10-23T18:00:00
149,25,Yoga retreat was so refreshing,2021-03-08T07:15:00
150,25,Teaching my first yoga class next week,2021-05-20T14:00:00
151,26,Movie marathon weekend,2021-05-27T21:30:00
152,26,Film review blog updated,2021-08-12T13:45:00
153,27,Soccer season starts tomorrow,2021-09-15T17:00:00
154,27,Team won the championship!,2021-12-10T22:30:00
155,28,Baking bread from scratch,2021-12-04T10:00:00
156,28,Sourdough starter is alive!,2022-01-15T12:30:00
157,29,Gaming tournament this weekend,2021-08-22T19:45:00
158,29,New high score achieved,2021-11-05T23:15:00
159,30,Language learning journey - day 100,2021-11-19T08:00:00
160,30,Passed my language proficiency exam!,2022-02-20T16:30:00
161,2,RT @alice_j: Just finished reading an amazing book about AI!,2021-03-15T11:00:00
162,3,RT @bobsmith: Excited about the new product launch tomorrow,2021-01-10T15:00:00
163,4,RT @carol_writes: Writing my first blog post about web development,2021-02-05T12:00:00
164,5,RT @dave_brown: Great conference today on machine learning,2020-12-18T14:00:00
165,6,RT @emma_d: Happy to announce I'm starting a new job!,2021-04-01T11:00:00
166,8,RT @grace_lee: Sharing my latest photography project,2021-02-14T13:00:00
167,9,RT @henry_tech: New tutorial series on JavaScript starting next week,2021-03-30T16:00:00
168,11,RT @jack_m: Just launched my personal website,2021-01-20T15:00:00
169,12,RT @kate_martinez: Cooking experiments in the kitchen today,2021-03-25T19:00:00
170,14,RT @maya_t: Book recommendations for autumn reading,2021-10-08T11:00:00
171,3,@alice_j That sounds interesting! Which book?,2021-06-20T09:00:00
172,4,@bobsmith Congratulations!,2021-07-22T20:00:00
173,5,@carol_writes Great work!,2021-08-30T17:00:00
174,6,@dave_brown I'd recommend pandas and numpy,2021-05-12T10:00:00
175,7,@emma_d Beautiful photos from your trip!,2021-09-15T18:00:00
176,8,@frank_w Nice debugging skills!,2020-11-21T02:00:00
177,9,@grace_lee Amazing shots!,2021-07-04T07:00:00
178,10,@henry_tech Can't wait to watch!,2021-10-15T21:00:00
179,11,@iris_chen Good luck!,2021-06-16T00:00:00
180,12,@jack_m Love your design style,2021-08-05T12:00:00
